IdTipoPago;IdProducto
1;347
6;347
7;347
8;347
9;347
11;347
17;347
18;347
14;347
15;347
16;347
24;347
25;347
27;347
20;347
23;347
22;347
13;347
19;347
3;347
29;347
30;347
31;347
33;347
10;347
12;347
28;347
2;347
31;1185
3;1185
6;1185
7;1185
8;1185
9;1185
11;1185
12;1185
13;1185
14;1185
15;1185
16;1185
17;1185
18;1185
19;1185
22;1185
33;1185
10;1185
30;1185
2;1185
29;1185
27;1185
28;1185
20;1185
23;1185
1;1185
24;1185
25;1185
1;8394
17;8394
18;8394
19;8394
20;8394
23;8394
22;8394
24;8394
25;8394
27;8394
28;8394
3;1391
6;1391
9;1391
10;1391
8;1391
7;1391
28;1391
29;1391
30;1391
31;1391
33;1391
27;1391
12;1391
13;1391
14;1391
15;1391
16;1391
17;1391
18;1391
19;1391
20;1391
23;1391
22;1391
24;1391
25;1391
11;1391
1;1391
2;1391
16;2646
18;2646
19;2646
20;2646
17;2646
12;2646
15;2646
3;2646
11;2646
6;2646
24;2646
25;2646
27;2646
28;2646
29;2646
30;2646
31;2646
33;2646
10;2646
1;2646
2;2646
7;2646
8;2646
9;2646
22;2646
23;2646
14;2646
13;2646
12;2359
13;2359
14;2359
15;2359
16;2359
17;2359
18;2359
20;2359
19;2359
22;2359
24;2359
25;2359
27;2359
28;2359
29;2359
30;2359
31;2359
10;2359
2;2359
23;2359
1;2359
11;2359
7;2359
8;2359
3;2359
9;2359
6;2359
13;329
18;329
14;329
15;329
16;329
17;329
11;329
12;329
23;329
1;329
2;329
3;329
6;329
7;329
8;329
9;329
22;329
24;329
25;329
27;329
28;329
10;329
19;329
20;329
14;1459
15;1459
16;1459
18;1459
9;1459
8;1459
1;1459
2;1459
3;1459
6;1459
7;1459
13;1459
12;1459
19;1459
20;1459
23;1459
22;1459
24;1459
25;1459
27;1459
28;1459
10;1459
11;1459
17;1459
17;3328
16;3328
14;3328
15;3328
10;3328
20;3328
21;3328
2;3328
6;3328
7;3328
8;3328
9;3328
11;3328
3;3328
23;3328
28;3328
22;3328
27;3328
13;3328
18;3328
19;3328
1;3328
12;3328
24;3328
25;3328
19;3327
18;3327
13;3327
27;3327
28;3327
22;3327
23;3327
16;3327
17;3327
14;3327
15;3327
1;3327
2;3327
3;3327
6;3327
7;3327
8;3327
9;3327
11;3327
12;3327
10;3327
20;3327
21;3327
24;3327
25;3327
24;5023
21;5023
18;5023
6;5023
9;5023
15;5023
17;5023
27;5023
22;5023
25;5023
28;5023
19;5023
7;5023
8;5023
23;5023
13;5023
16;5023
14;5023
10;5023
12;5023
2;5023
3;5023
11;5023
1;5023
20;5023
12;15692
13;15692
14;15692
15;15692
16;15692
17;15692
18;15692
19;15692
20;15692
23;15692
22;15692
24;15692
25;15692
27;15692
28;15692
29;15692
30;15692
31;15692
33;15692
10;15692
1;15692
2;15692
